Num_Bank_Accounts,Num_of_Delayed_Payment,Changed_Credit_Limit,Credit_Mix,Payment_of_Min_Amount
8.0,13.0,7.83,0,2
8.0,10.0,7.83,0,2
8.0,14.0,10.83,3,2
8.0,13.0,7.83,3,2
6.0,14.0,6.28,3,2
6.0,14.0,6.28,3,2
6.0,14.0,6.28,0,2
6.0,14.0,6.28,3,2
6.0,14.0,6.28,3,2
6.0,16.0,6.28,3,2
6.0,16.0,6.28,3,2
6.0,11.0,9.13,3,2
6.0,11.0,9.13,0,2
6.0,11.0,9.13,3,2
6.0,8.0,9.13,3,0
6.0,13.0,13.13,3,2
6.0,10.0,9.13,0,2
6.0,11.0,9.13,3,2
6.0,12.0,9.22,3,2
6.0,12.0,9.22,3,2
6.0,12.0,9.22,3,2
6.0,12.0,9.22,3,2
6.0,19.0,8.22,0,2
6.0,12.0,8.22,3,2
6.0,19.0,9.22,3,2
6.0,12.0,2.2200000000000006,3,2
6.0,8.0,17.92,3,2
6.0,8.0,11.920000000000002,0,2
6.0,7.0,17.92,0,2
6.0,19.0,9.95,1,2
6.0,18.0,9.95,1,0
6.0,19.0,15.95,0,2
6.0,19.0,9.95,1,2
6.0,19.0,9.95,1,2
6.0,19.0,9.95,1,2
7.0,12.0,4.17,0,0
7.0,14.0,4.17,0,1
7.0,12.0,4.17,3,1
7.0,19.0,4.17,3,1
7.0,12.0,4.17,3,1
7.0,15.0,4.17,3,1
7.0,19.0,8.969999999999997,1,2
7.0,18.0,7.97,1,0
7.0,23.0,7.97,1,2
7.0,20.0,7.97,0,2
7.0,19.0,7.97,1,2
7.0,21.0,7.97,0,2
7.0,21.0,7.97,1,2
4.0,8.0,0.86,0,1
4.0,7.0,10.23199443955013,2,1
4.0,6.0,0.86,2,1
4.0,6.0,10.23199443955013,2,1
4.0,4.0,0.86,0,1
4.0,6.0,0.86,2,1
5.0,19.0,15.79,0,2
5.0,18.0,15.79,3,2
5.0,16.0,15.79,3,2
5.0,19.0,15.79,3,2
5.0,19.0,15.79,3,2
5.0,20.0,21.79,3,2
5.0,19.0,15.79,3,2
9.0,19.0,7.27,1,2
9.0,19.0,7.27,1,2
9.0,22.0,7.27,0,2
9.0,21.0,10.27,1,2
9.0,21.0,7.27,1,2
9.0,24.0,7.27,0,2
8.0,14.0,1.13,3,1
8.0,19.0,1.13,3,1
8.0,19.0,1.13,3,1
8.0,12.0,1.13,3,1
8.0,14.0,10.23199443955013,3,1
8.0,14.0,1.13,0,1
8.0,14.0,1.13,3,1
9.0,10.0,17.96,3,0
9.0,19.0,13.96,3,0
9.0,6.0,12.96,0,2
9.0,7.0,13.96,3,0
9.0,12.0,13.96,0,2
9.0,12.0,13.96,0,2
9.0,12.0,13.96,3,2
3.0,8.0,8.97,3,2
3.0,8.0,14.97,3,2
3.0,8.0,12.97,3,2
3.0,8.0,8.97,3,2
3.0,8.0,4.9700000000000015,3,2
3.0,8.0,8.97,3,2
3.0,8.0,8.97,3,2
6.0,12.0,4.89,0,2
6.0,9.0,4.89,3,0
6.0,10.0,4.89,3,2
6.0,14.0,4.89,0,2
6.0,12.0,4.89,3,2
6.0,13.0,4.89,3,2
10.0,13.0,1.54,0,2
10.0,16.0,1.54,0,0
10.0,16.0,1.54,1,2
10.0,16.0,1.54,1,2
10.0,16.0,1.54,1,2
10.0,14.0,1.54,1,2
10.0,13.0,10.23199443955013,1,2
1.0,6.0,6.83,0,1
1.0,3.0,6.83,2,1
1.0,7.0,6.83,0,1
1.0,6.0,6.83,2,1
7.0,21.0,10.23199443955013,1,0
7.0,21.0,5.07,1,2
7.0,22.0,5.07,1,2
7.0,21.0,6.07,1,2
7.0,21.0,10.23199443955013,1,2
7.0,18.0,5.07,1,2
4.0,14.0,11.8,0,2
4.0,17.0,11.8,3,2
4.0,20.0,11.8,3,2
4.0,15.0,11.8,3,2
4.0,18.0,16.8,3,2
4.0,17.0,11.8,3,2
4.0,20.0,11.8,0,2
4.0,17.0,11.8,3,2
8.0,17.0,16.58,3,2
8.0,20.0,16.58,3,2
8.0,20.0,10.579999999999998,0,2
8.0,20.0,22.58,3,2
8.0,19.0,16.58,3,2
8.0,20.0,21.58,3,2
8.0,19.0,16.58,3,2
2.0,10.0,9.58,2,1
2.0,8.0,2.58,2,1
2.0,19.0,2.58,2,0
2.0,10.0,2.58,2,1
2.0,10.0,2.58,2,1
2.0,10.0,2.58,0,0
2.0,10.0,2.58,2,1
2.0,10.0,2.58,2,1
3.0,6.0,10.44,3,2
3.0,10.0,10.44,3,2
3.0,8.0,10.44,3,2
3.0,6.0,10.44,3,2
3.0,10.0,4.44,0,2
3.0,8.0,10.44,3,0
4.0,21.0,2.74,3,1
4.0,22.0,2.74,3,1
4.0,22.0,10.23199443955013,0,0
4.0,18.0,10.23199443955013,0,1
4.0,21.0,2.74,3,1
4.0,19.0,2.74,3,1
4.0,19.0,10.23199443955013,3,1
8.0,20.0,9.24,3,2
8.0,19.0,9.24,0,2
8.0,20.0,9.24,0,2
8.0,23.0,9.24,3,2
8.0,23.0,9.24,3,2
5.0,19.0,5.67,3,1
5.0,19.0,4.67,3,1
5.0,15.0,5.67,3,1
5.0,15.0,5.67,3,1
5.0,15.0,5.67,3,1
5.0,14.0,10.23199443955013,3,0
5.0,14.0,7.58,3,1
5.0,14.0,7.58,3,1
5.0,14.0,7.58,3,1
5.0,15.0,7.58,3,0
5.0,16.0,7.58,3,1
5.0,15.0,7.58,3,1
7.0,20.0,21.73,1,2
7.0,22.0,21.73,0,2
7.0,20.0,21.73,1,2
7.0,20.0,21.73,0,0
7.0,21.0,21.73,1,2
7.0,20.0,21.73,1,2
7.0,20.0,21.73,1,2
6.0,19.0,13.74,3,0
6.0,10.0,13.74,3,2
6.0,10.0,6.74,3,2
6.0,7.0,13.74,3,2
3.0,3.0,9.2,2,1
3.0,6.0,9.2,2,1
3.0,6.0,9.2,0,1
3.0,8.0,9.2,2,1
4.0,7.0,6.43,2,1
4.0,19.0,6.43,0,0
4.0,7.0,6.43,0,1
4.0,7.0,6.43,2,1
4.0,7.0,6.43,2,1
7.0,24.0,6.82,1,2
7.0,24.0,8.82,0,2
7.0,24.0,8.82,1,2
7.0,24.0,8.82,1,2
7.0,24.0,8.82,1,2
7.0,24.0,8.82,1,2
7.0,26.0,8.82,0,0
2.0,19.0,10.98,2,1
2.0,6.0,10.98,0,1
2.0,19.0,10.23199443955013,2,1
2.0,5.0,10.98,2,1
8.0,10.0,11.94,3,1
8.0,10.0,11.94,3,0
8.0,10.0,11.94,0,0
8.0,19.0,13.94,3,1
8.0,13.0,11.94,3,1
8.0,19.0,11.94,3,0
7.0,11.0,19.87,3,2
7.0,11.0,19.87,3,2
7.0,11.0,19.87,3,2
7.0,11.0,19.87,3,2
7.0,11.0,19.87,0,0
6.0,14.0,24.87,3,2
6.0,10.0,16.87,0,2
8.0,17.0,5.51,1,2
8.0,18.0,5.51,0,0
8.0,19.0,5.51,0,2
8.0,21.0,5.51,0,2
8.0,18.0,5.51,0,2
8.0,19.0,10.23199443955013,1,2
8.0,18.0,5.51,1,0
4.0,8.0,11.92,2,1
4.0,8.0,11.92,2,1
4.0,8.0,8.92,2,1
6.0,15.0,15.06,3,0
6.0,12.0,15.06,3,2
6.0,15.0,15.06,3,2
6.0,15.0,15.06,3,2
6.0,15.0,15.06,3,2
6.0,15.0,15.06,3,2
6.0,15.0,15.06,3,2
8.0,19.0,5.79,3,1
8.0,17.0,5.79,0,1
8.0,19.0,5.79,3,1
8.0,18.0,5.79,3,1
8.0,20.0,5.79,0,1
8.0,19.0,5.79,3,1
5.0,19.0,21.22,3,2
5.0,19.0,14.22,3,2
5.0,16.0,14.22,3,2
5.0,21.0,14.22,3,2
5.0,19.0,14.22,0,2
5.0,19.0,14.22,0,2
5.0,19.0,14.22,3,2
5.0,19.0,14.22,3,2
10.0,18.0,6.81,0,2
10.0,18.0,6.81,1,2
10.0,18.0,6.81,1,2
10.0,18.0,6.81,0,2
10.0,18.0,6.81,1,2
10.0,20.0,6.81,1,0
10.0,19.0,6.81,1,2
10.0,18.0,6.81,1,0
8.0,22.0,9.81,1,2
8.0,20.0,3.810000000000001,1,2
8.0,21.0,9.81,1,2
8.0,18.0,9.81,1,2
8.0,21.0,9.81,1,2
8.0,23.0,9.81,1,2
8.0,21.0,9.81,1,2
10.0,19.0,23.58,1,0
10.0,21.0,23.58,0,2
10.0,21.0,23.58,1,2
10.0,21.0,23.58,0,2
10.0,19.0,23.58,0,0
10.0,23.0,23.58,0,2
10.0,21.0,23.58,1,2
7.0,19.0,13.92,3,2
7.0,20.0,14.92,3,2
7.0,17.0,19.92,0,2
7.0,17.0,13.92,3,2
7.0,20.0,13.92,3,2
7.0,20.0,13.92,3,2
7.0,20.0,13.92,3,2
7.0,17.0,13.92,3,2
5.0,5.0,11.01,2,1
5.0,10.0,9.01,2,1
5.0,8.0,11.01,2,1
5.0,8.0,11.01,2,1
5.0,8.0,11.01,0,0
5.0,6.0,11.01,2,1
5.0,19.0,11.01,2,1
5.0,10.0,3.69,2,0
5.0,10.0,3.69,0,1
5.0,7.0,10.23199443955013,2,1
5.0,10.0,3.69,2,1
5.0,19.0,4.69,2,1
5.0,13.0,3.69,2,0
5.0,10.0,14.79,3,2
5.0,10.0,14.79,3,2
5.0,12.0,14.79,3,2
5.0,10.0,14.79,0,2
5.0,11.0,14.79,3,2
5.0,13.0,14.79,3,2
8.0,10.0,12.8,0,2
8.0,9.0,12.8,3,0
8.0,9.0,12.8,3,2
8.0,10.0,17.8,3,2
8.0,11.0,12.8,3,2
8.0,20.0,18.42,1,2
8.0,15.0,18.42,0,2
8.0,17.0,18.42,0,2
8.0,15.0,18.42,0,2
8.0,17.0,18.42,1,2
8.0,17.0,18.42,1,2
8.0,17.0,18.42,1,0
8.0,17.0,18.42,1,2
8.0,23.0,2.29,0,2
8.0,23.0,6.29,1,2
8.0,19.0,1.29,1,2
8.0,25.0,1.29,1,2
8.0,19.0,3.29,0,2
5.0,20.0,8.36,3,1
5.0,23.0,8.36,3,1
5.0,18.0,8.36,3,1
5.0,17.0,8.36,3,1
5.0,20.0,8.36,3,1
5.0,21.0,13.36,0,1
5.0,20.0,8.36,3,1
8.0,20.0,9.78,1,2
8.0,22.0,9.78,1,2
8.0,21.0,4.7799999999999985,1,2
8.0,20.0,9.78,1,2
8.0,20.0,9.78,1,2
8.0,23.0,9.78,1,2
8.0,20.0,9.78,1,2
0.0,19.0,6.08,2,1
5.0,9.0,18.8,3,2
5.0,9.0,18.8,3,2
5.0,9.0,18.8,0,0
5.0,6.0,18.8,0,2
5.0,9.0,23.8,3,2
5.0,6.0,18.8,3,2
2.0,8.0,3.9,2,1
2.0,8.0,7.9,2,1
2.0,19.0,3.9,2,1
2.0,8.0,3.9,2,1
2.0,8.0,3.9,2,1
2.0,6.0,3.9,2,1
8.0,16.0,29.52,0,2
8.0,15.0,29.52,1,0
8.0,15.0,31.52,1,2
8.0,15.0,29.52,1,2
8.0,13.0,29.52,0,2
8.0,15.0,29.52,1,2
8.0,15.0,29.52,0,2
0.0,6.0,4.62,2,1
0.0,6.0,10.23199443955013,2,1
0.0,6.0,4.62,2,1
0.0,6.0,4.62,2,1
8.0,19.0,10.06,3,2
8.0,10.0,10.06,0,2
8.0,10.0,10.06,3,2
8.0,10.0,10.06,3,2
8.0,10.0,7.0600000000000005,3,2
8.0,10.0,10.06,0,2
8.0,10.0,10.06,3,2
1.0,5.0,1.54,2,1
1.0,5.0,4.54,0,1
1.0,5.0,4.54,2,1
1.0,6.0,4.54,2,0
1.0,5.0,4.54,2,1
1.0,5.0,4.54,2,1
6.0,20.0,5.62,3,1
6.0,19.0,5.62,3,1
6.0,20.0,5.62,3,1
6.0,18.0,12.62,3,0
6.0,20.0,5.62,0,1
6.0,21.0,5.62,3,1
6.0,20.0,5.62,3,1
6.0,19.0,23.21,1,2
6.0,20.0,29.21,1,0
6.0,21.0,23.21,1,0
6.0,20.0,23.21,1,2
6.0,19.0,23.21,0,2
6.0,20.0,23.21,0,2
6.0,19.0,28.21,0,2
6.0,19.0,23.21,1,2
8.0,15.0,5.65,3,1
8.0,15.0,5.65,3,1
8.0,16.0,5.65,3,1
8.0,16.0,5.65,3,1
8.0,17.0,5.65,0,1
8.0,15.0,5.65,3,1
3.0,7.0,3.11,2,1
3.0,9.0,3.11,0,1
3.0,6.0,3.11,0,1
3.0,12.0,3.11,2,1
7.0,21.0,18.21,3,1
7.0,20.0,11.21,3,1
7.0,19.0,9.21,3,1
7.0,20.0,5.210000000000001,3,0
7.0,20.0,11.21,3,1
7.0,20.0,11.21,3,1
7.0,21.0,15.21,0,1
7.0,18.0,18.53,0,2
7.0,19.0,10.23199443955013,3,2
7.0,18.0,18.53,3,2
7.0,18.0,18.53,3,2
7.0,20.0,18.53,3,2
7.0,18.0,18.53,3,2
7.0,18.0,16.53,0,2
7.0,20.0,11.53,3,2
6.0,22.0,5.52,0,2
6.0,22.0,5.52,0,2
6.0,19.0,10.23199443955013,1,2
6.0,23.0,5.52,1,2
6.0,19.0,0.5199999999999996,1,2
6.0,22.0,10.52,1,0
6.0,22.0,5.52,1,2
1.0,2.0,11.41,0,1
1.0,0.0,8.41,2,1
1.0,0.0,8.41,2,1
1.0,0.0,8.41,2,0
1.0,0.0,8.41,2,1
1.0,1.0,8.41,2,1
7.0,15.0,5.68,3,1
7.0,15.0,5.68,3,0
7.0,18.0,5.68,3,1
7.0,17.0,7.68,0,1
7.0,15.0,5.68,3,1
7.0,13.0,5.68,3,1
7.0,15.0,5.68,0,1
3.0,9.0,8.61,2,1
3.0,15.0,8.61,0,0
3.0,12.0,4.6099999999999985,2,1
3.0,10.0,8.61,0,1
3.0,10.0,8.61,2,1
3.0,19.0,8.61,0,1
2.0,11.0,5.27,2,1
2.0,19.0,5.27,2,1
2.0,12.0,5.27,2,1
2.0,19.0,5.27,2,1
2.0,8.0,5.27,2,1
2.0,10.0,6.27,2,1
2.0,9.0,5.27,2,0
4.0,18.0,19.05,3,2
4.0,18.0,19.05,3,2
4.0,18.0,19.05,3,2
4.0,19.0,19.05,3,2
4.0,18.0,12.05,3,2
4.0,18.0,19.05,3,2
4.0,16.0,19.05,3,2
4.0,18.0,19.05,3,2
6.0,17.0,15.82,3,2
6.0,20.0,15.82,3,0
6.0,17.0,15.82,0,2
6.0,17.0,15.82,3,2
6.0,17.0,15.82,3,2
6.0,16.0,15.82,3,2
6.0,20.0,21.82,3,2
6.0,17.0,10.23199443955013,3,2
7.0,18.0,19.42,0,2
7.0,18.0,19.42,1,0
7.0,19.0,19.42,1,2
7.0,17.0,19.42,1,2
7.0,19.0,19.42,0,2
7.0,21.0,19.42,0,2
9.0,15.0,21.24,1,2
9.0,15.0,17.24,1,2
9.0,17.0,17.24,1,0
9.0,17.0,17.24,1,2
9.0,15.0,17.24,0,0
5.0,2.0,4.18,2,1
5.0,2.0,4.18,2,1
5.0,1.0,4.18,2,1
5.0,0.0,10.23199443955013,2,1
5.0,5.0,4.18,2,1
5.0,2.0,4.18,0,1
5.0,2.0,4.18,2,1
3.0,13.0,10.1,3,2
3.0,16.0,10.1,0,2
3.0,12.0,10.1,3,2
3.0,20.0,7.57,3,2
3.0,21.0,7.57,3,2
3.0,19.0,7.57,3,2
3.0,20.0,10.23199443955013,3,2
3.0,20.0,7.57,0,2
3.0,20.0,3.5700000000000003,3,2
6.0,20.0,5.2,1,2
6.0,20.0,5.2,1,2
6.0,21.0,10.2,1,2
6.0,20.0,5.2,1,2
6.0,19.0,5.2,1,0
6.0,19.0,5.2,0,0
6.0,23.0,10.2,1,2
6.0,20.0,5.2,1,2
3.0,17.0,1.83,2,1
3.0,18.0,6.83,2,1
3.0,17.0,1.83,2,1
3.0,17.0,10.23199443955013,2,1
3.0,14.0,1.83,2,1
3.0,14.0,1.83,2,1
3.0,17.0,1.83,2,0
3.0,19.0,11.09,3,2
10.0,19.0,19.44,3,2
10.0,19.0,19.44,3,2
10.0,20.0,19.44,3,2
10.0,19.0,19.44,0,2
10.0,19.0,19.44,3,2
7.0,10.0,11.32,3,1
7.0,10.0,0.3200000000000003,3,1
7.0,13.0,4.32,3,0
7.0,11.0,4.32,3,1
7.0,10.0,4.32,3,1
7.0,12.0,4.32,3,1
7.0,26.0,16.23,1,2
7.0,23.0,16.23,1,0
7.0,20.0,16.23,1,2
7.0,24.0,16.23,1,0
7.0,23.0,16.23,0,0
7.0,23.0,16.23,1,2
7.0,23.0,16.23,1,2
9.0,22.0,3.44,1,0
9.0,22.0,3.44,1,2
9.0,22.0,0.44,1,2
9.0,22.0,3.44,1,2
9.0,20.0,3.44,1,2
9.0,22.0,3.44,1,0
9.0,23.0,3.44,0,2
9.0,22.0,3.44,1,2
5.0,8.0,13.65,3,2
5.0,9.0,13.65,3,2
5.0,11.0,13.65,3,2
5.0,12.0,13.65,0,2
5.0,10.0,13.65,0,2
5.0,12.0,13.65,0,0
1.0,9.0,3.9,0,1
1.0,11.0,3.9,2,1
1.0,9.0,3.9,2,1
1.0,19.0,3.9,0,0
1.0,9.0,3.9,0,1
1.0,10.0,10.23199443955013,2,1
7.0,20.0,9.75,3,1
7.0,20.0,9.75,3,1
7.0,20.0,9.75,3,1
7.0,21.0,2.75,3,1
7.0,20.0,9.75,3,1
7.0,18.0,9.75,3,1
7.0,19.0,9.75,3,1
7.0,20.0,9.75,0,1
5.0,9.0,5.04,2,1
5.0,10.0,5.04,2,1
5.0,11.0,5.04,2,1
5.0,19.0,1.04,2,0
5.0,14.0,5.04,0,1
5.0,11.0,5.04,2,1
5.0,11.0,5.04,0,1
5.0,8.0,5.04,2,1
5.0,3.0,5.95,2,1
5.0,19.0,10.23199443955013,2,1
5.0,3.0,11.95,2,0
5.0,3.0,5.95,0,1
5.0,3.0,5.95,0,1
5.0,19.0,5.95,2,1
5.0,3.0,5.95,2,1
4.0,5.0,1.31,0,1
4.0,6.0,8.31,2,0
4.0,8.0,3.31,2,1
4.0,3.0,1.31,2,1
4.0,6.0,1.31,2,1
4.0,6.0,1.31,2,1
0.0,3.0,2.42,0,1
0.0,19.0,6.42,0,1
0.0,0.0,6.42,2,1
0.0,0.0,6.42,2,1
0.0,0.0,6.42,2,1
0.0,0.0,6.42,2,1
10.0,17.0,10.64,1,2
10.0,17.0,10.64,1,2
10.0,17.0,14.64,1,2
10.0,17.0,10.64,1,2
10.0,17.0,10.64,1,2
10.0,17.0,10.64,1,2
10.0,19.0,10.64,1,2
10.0,17.0,10.64,1,2
6.0,7.0,9.33,3,2
6.0,8.0,9.33,3,2
6.0,8.0,9.33,0,2
6.0,8.0,9.33,3,2
6.0,8.0,4.33,0,2
6.0,8.0,9.33,0,2
6.0,8.0,9.33,3,2
2.0,6.0,5.21,2,1
2.0,0.0,4.21,2,1
8.0,20.0,18.33,0,2
8.0,22.0,21.33,3,2
8.0,23.0,10.23199443955013,3,2
8.0,20.0,16.33,0,0
8.0,20.0,18.33,3,2
8.0,20.0,18.33,3,2
8.0,21.0,18.33,0,0
8.0,20.0,18.33,3,2
6.0,21.0,22.79,1,2
7.0,22.0,22.79,1,2
7.0,21.0,22.79,1,2
7.0,18.0,28.79,0,2
7.0,21.0,22.79,1,2
7.0,21.0,22.79,1,0
7.0,21.0,22.79,1,2
7.0,21.0,22.79,1,2
10.0,18.0,12.489999999999998,1,2
10.0,18.0,16.49,0,2
10.0,18.0,23.49,1,2
10.0,18.0,17.49,0,2
10.0,21.0,17.49,1,2
5.0,11.0,10.47,2,1
5.0,11.0,10.47,2,1
5.0,13.0,10.47,0,1
5.0,10.0,10.47,2,1
5.0,11.0,10.47,2,1
5.0,11.0,10.47,2,1
8.0,23.0,21.31,1,0
8.0,23.0,21.31,1,2
8.0,19.0,21.31,1,2
8.0,23.0,21.31,1,2
8.0,23.0,21.31,1,2
8.0,23.0,21.31,1,2
8.0,19.0,21.31,1,2
8.0,23.0,21.31,1,2
8.0,20.0,10.3,3,2
8.0,19.0,10.3,3,0
8.0,17.0,9.3,0,2
8.0,18.0,10.3,3,2
8.0,19.0,10.3,0,2
8.0,16.0,10.3,3,2
8.0,18.0,10.3,3,2
8.0,18.0,15.3,3,2
2.0,0.0,9.24,0,1
2.0,1.0,9.24,0,1
2.0,0.0,9.24,2,1
2.0,19.0,9.24,2,1
2.0,1.0,9.24,0,1
2.0,0.0,3.24,2,1
4.0,14.0,15.78,0,2
4.0,16.0,17.78,3,2
4.0,15.0,18.78,3,0
4.0,13.0,14.78,3,2
4.0,16.0,14.78,3,2
4.0,16.0,14.78,3,2
4.0,16.0,14.78,3,2
6.0,16.0,10.26,3,0
6.0,16.0,10.26,0,2
7.0,16.0,12.26,3,2
7.0,16.0,17.259999999999998,3,0
7.0,19.0,14.26,0,2
7.0,16.0,10.26,0,2
7.0,16.0,4.26,3,2
7.0,16.0,10.26,3,2
3.0,5.0,13.28,2,1
3.0,19.0,10.28,2,1
3.0,5.0,10.28,2,1
3.0,8.0,3.9,3,0
3.0,10.0,4.9,3,0
3.0,10.0,3.9,3,1
3.0,12.0,3.9,0,1
3.0,10.0,3.9,3,1
3.0,9.0,3.9,3,1
3.0,9.0,3.9,3,0
1.0,5.0,11.56,0,1
1.0,5.0,16.560000000000002,2,1
1.0,3.0,11.56,2,1
1.0,5.0,10.23199443955013,2,0
1.0,5.0,11.56,2,1
1.0,5.0,11.56,2,1
1.0,8.0,11.56,2,1
0.0,6.0,11.25,2,1
0.0,6.0,11.25,2,1
0.0,19.0,11.25,2,1
0.0,5.0,11.25,2,1
0.0,4.0,11.25,2,0
0.0,4.0,11.25,2,0
0.0,6.0,14.25,2,1
0.0,7.0,11.25,2,0
10.0,23.0,3.51,1,2
10.0,20.0,3.51,1,2
10.0,20.0,3.51,0,2
10.0,23.0,3.51,1,2
10.0,21.0,3.51,1,2
10.0,24.0,3.51,1,2
10.0,23.0,3.51,1,2
10.0,23.0,3.51,1,2
5.0,16.0,10.12,0,0
5.0,14.0,11.12,0,2
5.0,16.0,11.12,3,2
5.0,19.0,12.12,3,2
5.0,16.0,11.12,0,2
5.0,13.0,17.119999999999994,3,2
3.0,14.0,7.81,3,2
3.0,14.0,7.81,0,2
3.0,14.0,7.81,0,2
3.0,14.0,7.81,3,2
3.0,14.0,7.81,3,2
3.0,14.0,13.81,3,2
3.0,15.0,11.81,3,0
3.0,14.0,11.35,3,2
3.0,14.0,11.35,3,2
3.0,19.0,11.35,3,2
3.0,13.0,11.35,3,2
3.0,14.0,16.35,3,2
3.0,14.0,11.35,3,2
3.0,14.0,11.35,3,2
3.0,19.0,11.35,0,2
7.0,12.0,8.22,3,2
7.0,12.0,8.22,3,2
7.0,7.0,8.22,3,2
7.0,9.0,8.22,3,2
7.0,9.0,8.22,3,2
4.0,12.0,7.28,3,2
4.0,12.0,7.28,3,2
4.0,12.0,7.28,3,2
4.0,11.0,7.28,3,2
4.0,13.0,7.28,3,2
3.0,19.0,11.31,3,2
3.0,13.0,10.31,3,2
3.0,13.0,10.31,0,2
3.0,19.0,10.31,3,2
3.0,13.0,10.31,3,2
3.0,14.0,10.31,3,2
6.0,9.0,8.12,3,1
6.0,9.0,8.12,0,1
6.0,9.0,8.12,0,1
6.0,19.0,8.12,3,1
6.0,10.0,8.12,3,1
6.0,9.0,8.12,3,1
6.0,9.0,8.12,3,1
6.0,9.0,8.12,3,1
8.0,20.0,12.76,3,1
8.0,20.0,9.76,3,1
8.0,22.0,9.76,3,1
8.0,20.0,9.76,3,1
8.0,20.0,9.76,0,1
8.0,21.0,9.76,3,1
8.0,17.0,9.76,0,1
7.0,19.0,20.05,1,2
7.0,24.0,16.05,1,2
7.0,24.0,20.05,1,0
7.0,21.0,20.05,1,2
7.0,18.0,20.05,1,2
7.0,23.0,20.05,1,2
3.0,14.0,0.67,0,1
3.0,14.0,0.67,2,1
3.0,12.0,1.67,2,1
3.0,14.0,0.67,2,1
3.0,14.0,0.67,2,1
3.0,14.0,0.67,2,1
4.0,2.0,1.22,2,1
4.0,4.0,1.22,2,1
4.0,2.0,1.22,2,0
4.0,2.0,3.22,0,1
4.0,2.0,1.22,0,1
4.0,2.0,1.22,2,1
3.0,16.0,13.29,3,2
3.0,13.0,13.29,3,2
3.0,13.0,10.23199443955013,3,2
3.0,13.0,8.29,3,2
3.0,13.0,13.29,3,0
3.0,12.0,17.29,3,2
3.0,12.0,13.29,3,2
3.0,13.0,13.29,3,2
6.0,17.0,26.16,1,2
6.0,17.0,26.16,1,2
6.0,19.0,26.16,1,0
6.0,17.0,26.16,1,2
6.0,20.0,26.16,1,2
