Changed_Credit_Limit,Num_of_Delayed_Payment,Payment_of_Min_Amount,Num_Bank_Accounts,Credit_Mix,Interest_Rate,Num_Credit_Card
10.23199443955013,7.0,1,4.0,2,1,4
0.86,6.0,1,4.0,2,1,4
10.23199443955013,6.0,1,4.0,2,1,4
0.86,4.0,1,4.0,0,1,4
0.86,6.0,1,4.0,2,1,4
15.79,19.0,2,5.0,0,10,5
15.79,18.0,2,5.0,3,10,5
15.79,16.0,2,5.0,3,10,5
15.79,19.0,2,5.0,3,10,5
15.79,19.0,2,5.0,3,10,5
21.79,20.0,2,5.0,3,10,5
15.79,19.0,2,5.0,3,10,5
7.27,19.0,2,9.0,1,31,8
7.27,19.0,2,9.0,1,31,8
7.27,22.0,2,9.0,0,31,8
10.27,21.0,2,9.0,1,31,8
7.27,21.0,2,9.0,1,31,8
7.27,24.0,2,9.0,0,31,8
1.13,14.0,1,8.0,3,14,6
1.13,19.0,1,8.0,3,14,6
1.13,19.0,1,8.0,3,14,6
1.13,12.0,1,8.0,3,14,6
10.23199443955013,14.0,1,8.0,3,14,6
1.13,14.0,1,8.0,0,14,6
1.13,14.0,1,8.0,3,14,6
17.96,10.0,0,9.0,3,25,8
13.96,19.0,0,9.0,3,25,8
12.96,6.0,2,9.0,0,25,8
13.96,7.0,0,9.0,3,25,8
13.96,12.0,2,9.0,0,25,8
13.96,12.0,2,9.0,0,25,8
13.96,12.0,2,9.0,3,25,8
8.97,8.0,2,3.0,3,18,3
14.97,8.0,2,3.0,3,18,3
12.97,8.0,2,3.0,3,18,3
8.97,8.0,2,3.0,3,18,3
4.9700000000000015,8.0,2,3.0,3,18,3
8.97,8.0,2,3.0,3,18,3
8.97,8.0,2,3.0,3,18,3
4.89,12.0,2,6.0,0,15,3
4.89,9.0,0,6.0,3,15,3
4.89,10.0,2,6.0,3,15,3
4.89,14.0,2,6.0,0,15,3
4.89,12.0,2,6.0,3,15,3
4.89,13.0,2,6.0,3,15,3
1.54,13.0,2,10.0,0,25,8
1.54,16.0,0,10.0,0,25,8
1.54,16.0,2,10.0,1,25,8
1.54,16.0,2,10.0,1,25,8
1.54,16.0,2,10.0,1,25,8
1.54,14.0,2,10.0,1,25,8
10.23199443955013,13.0,2,10.0,1,25,8
6.83,6.0,1,1.0,0,1,5
6.83,3.0,1,1.0,2,1,5
6.83,7.0,1,1.0,0,1,5
6.83,6.0,1,1.0,2,1,5
10.23199443955013,21.0,0,7.0,1,19,7
5.07,21.0,2,7.0,1,19,7
5.07,22.0,2,7.0,1,19,7
6.07,21.0,2,7.0,1,19,7
10.23199443955013,21.0,2,7.0,1,19,7
5.07,18.0,2,7.0,1,19,7
11.8,14.0,2,4.0,0,10,3
11.8,17.0,2,4.0,3,10,3
11.8,20.0,2,4.0,3,10,3
11.8,15.0,2,4.0,3,10,3
16.8,18.0,2,4.0,3,10,3
11.8,17.0,2,4.0,3,10,3
11.8,20.0,2,4.0,0,10,3
11.8,17.0,2,4.0,3,10,3
16.58,17.0,2,8.0,3,9,5
16.58,20.0,2,8.0,3,9,5
10.579999999999998,20.0,2,8.0,0,9,5
22.58,20.0,2,8.0,3,9,5
16.58,19.0,2,8.0,3,9,5
21.58,20.0,2,8.0,3,9,5
16.58,19.0,2,8.0,3,9,5
9.58,10.0,1,2.0,2,10,7
2.58,8.0,1,2.0,2,10,7
2.58,19.0,0,2.0,2,10,7
2.58,10.0,1,2.0,2,10,7
2.58,10.0,1,2.0,2,10,7
2.58,10.0,0,2.0,0,10,7
2.58,10.0,1,2.0,2,10,7
2.58,10.0,1,2.0,2,10,7
10.44,6.0,2,3.0,3,15,6
10.44,10.0,2,3.0,3,15,6
10.44,8.0,2,3.0,3,15,6
10.44,6.0,2,3.0,3,15,6
4.44,10.0,2,3.0,0,15,6
10.44,8.0,0,3.0,3,15,6
2.74,21.0,1,4.0,3,17,5
2.74,22.0,1,4.0,3,17,5
10.23199443955013,22.0,0,4.0,0,17,5
10.23199443955013,18.0,1,4.0,0,17,5
2.74,21.0,1,4.0,3,17,5
2.74,19.0,1,4.0,3,17,5
10.23199443955013,19.0,1,4.0,3,17,5
9.24,20.0,2,8.0,3,32,5
9.24,19.0,2,8.0,0,32,5
9.24,20.0,2,8.0,0,32,5
9.24,23.0,2,8.0,3,32,5
9.24,23.0,2,8.0,3,32,5
5.67,19.0,1,5.0,3,5,7
4.67,19.0,1,5.0,3,5,7
5.67,15.0,1,5.0,3,5,7
5.67,15.0,1,5.0,3,5,7
5.67,15.0,1,5.0,3,5,7
10.23199443955013,14.0,0,5.0,3,5,7
7.58,14.0,1,5.0,3,13,5
7.58,14.0,1,5.0,3,13,5
7.58,14.0,1,5.0,3,13,5
7.58,15.0,0,5.0,3,13,5
7.58,16.0,1,5.0,3,13,5
7.58,15.0,1,5.0,3,13,5
21.73,20.0,2,7.0,1,31,9
21.73,22.0,2,7.0,0,31,9
21.73,20.0,2,7.0,1,31,9
21.73,20.0,0,7.0,0,31,9
21.73,21.0,2,7.0,1,31,9
21.73,20.0,2,7.0,1,31,9
21.73,20.0,2,7.0,1,31,9
13.74,19.0,0,6.0,3,14,3
13.74,10.0,2,6.0,3,14,3
6.74,10.0,2,6.0,3,14,3
13.74,7.0,2,6.0,3,14,3
9.2,3.0,1,3.0,2,5,4
9.2,6.0,1,3.0,2,5,4
9.2,6.0,1,3.0,0,5,4
9.2,8.0,1,3.0,2,5,4
6.43,7.0,1,4.0,2,3,2
6.43,19.0,0,4.0,0,3,2
6.43,7.0,1,4.0,0,3,2
6.43,7.0,1,4.0,2,3,2
6.43,7.0,1,4.0,2,3,2
6.82,24.0,2,7.0,1,33,10
8.82,24.0,2,7.0,0,33,10
8.82,24.0,2,7.0,1,33,10
8.82,24.0,2,7.0,1,33,10
8.82,24.0,2,7.0,1,33,10
8.82,24.0,2,7.0,1,33,10
8.82,26.0,0,7.0,0,33,10
10.98,19.0,1,2.0,2,8,6
10.98,6.0,1,2.0,0,8,6
10.23199443955013,19.0,1,2.0,2,8,6
10.98,5.0,1,2.0,2,8,6
11.94,10.0,1,8.0,3,11,4
11.94,10.0,0,8.0,3,11,4
11.94,10.0,0,8.0,0,11,4
13.94,19.0,1,8.0,3,11,4
11.94,13.0,1,8.0,3,11,4
11.94,19.0,0,8.0,3,11,4
19.87,11.0,2,7.0,3,31,6
19.87,11.0,2,7.0,3,31,6
19.87,11.0,2,7.0,3,31,6
19.87,11.0,2,7.0,3,31,6
19.87,11.0,0,7.0,0,31,6
24.87,14.0,2,6.0,3,31,5
16.87,10.0,2,6.0,0,31,5
5.51,17.0,2,8.0,1,21,5
5.51,18.0,0,8.0,0,21,5
5.51,19.0,2,8.0,0,21,5
5.51,21.0,2,8.0,0,21,5
5.51,18.0,2,8.0,0,21,5
10.23199443955013,19.0,2,8.0,1,21,5
5.51,18.0,0,8.0,1,21,5
11.92,8.0,1,4.0,2,11,3
11.92,8.0,1,4.0,2,11,3
8.92,8.0,1,4.0,2,11,3
15.06,15.0,0,6.0,3,7,3
15.06,12.0,2,6.0,3,7,3
15.06,15.0,2,6.0,3,7,3
15.06,15.0,2,6.0,3,7,3
15.06,15.0,2,6.0,3,7,3
15.06,15.0,2,6.0,3,7,3
15.06,15.0,2,6.0,3,7,3
5.79,19.0,1,8.0,3,6,7
5.79,17.0,1,8.0,0,6,7
5.79,19.0,1,8.0,3,6,7
5.79,18.0,1,8.0,3,6,7
5.79,20.0,1,8.0,0,6,7
5.79,19.0,1,8.0,3,6,7
21.22,19.0,2,5.0,3,17,3
14.22,19.0,2,5.0,3,17,3
14.22,16.0,2,5.0,3,17,3
14.22,21.0,2,5.0,3,17,3
14.22,19.0,2,5.0,0,17,3
14.22,19.0,2,5.0,0,17,3
14.22,19.0,2,5.0,3,17,3
14.22,19.0,2,5.0,3,17,3
6.81,18.0,2,10.0,0,20,7
6.81,18.0,2,10.0,1,20,7
6.81,18.0,2,10.0,1,20,7
6.81,18.0,2,10.0,0,20,7
6.81,18.0,2,10.0,1,20,7
6.81,20.0,0,10.0,1,20,7
6.81,19.0,2,10.0,1,20,7
6.81,18.0,0,10.0,1,20,7
9.81,22.0,2,8.0,1,31,5
3.810000000000001,20.0,2,8.0,1,31,5
9.81,21.0,2,8.0,1,31,5
9.81,18.0,2,8.0,1,31,5
9.81,21.0,2,8.0,1,31,5
9.81,23.0,2,8.0,1,31,5
9.81,21.0,2,8.0,1,31,5
23.58,19.0,0,10.0,1,20,8
23.58,21.0,2,10.0,0,20,8
23.58,21.0,2,10.0,1,20,8
23.58,21.0,2,10.0,0,20,8
23.58,19.0,0,10.0,0,20,8
23.58,23.0,2,10.0,0,20,8
23.58,21.0,2,10.0,1,20,8
13.92,19.0,2,7.0,3,18,3
14.92,20.0,2,7.0,3,18,3
19.92,17.0,2,7.0,0,18,3
13.92,17.0,2,7.0,3,18,3
13.92,20.0,2,7.0,3,18,3
13.92,20.0,2,7.0,3,18,3
13.92,20.0,2,7.0,3,18,3
13.92,17.0,2,7.0,3,18,3
11.01,5.0,1,5.0,2,8,2
9.01,10.0,1,5.0,2,8,2
11.01,8.0,1,5.0,2,8,2
11.01,8.0,1,5.0,2,8,2
11.01,8.0,0,5.0,0,8,2
11.01,6.0,1,5.0,2,8,2
11.01,19.0,1,5.0,2,8,2
3.69,10.0,0,5.0,2,4,1
3.69,10.0,1,5.0,0,4,1
10.23199443955013,7.0,1,5.0,2,4,1
3.69,10.0,1,5.0,2,4,1
4.69,19.0,1,5.0,2,4,1
3.69,13.0,0,5.0,2,4,1
14.79,10.0,2,5.0,3,5,7
14.79,10.0,2,5.0,3,5,7
14.79,12.0,2,5.0,3,5,7
14.79,10.0,2,5.0,0,5,7
14.79,11.0,2,5.0,3,5,7
14.79,13.0,2,5.0,3,5,7
12.8,10.0,2,8.0,0,32,6
12.8,9.0,0,8.0,3,32,6
12.8,9.0,2,8.0,3,32,6
17.8,10.0,2,8.0,3,32,6
12.8,11.0,2,8.0,3,32,6
18.42,20.0,2,8.0,1,28,7
18.42,15.0,2,8.0,0,28,7
18.42,17.0,2,8.0,0,28,7
18.42,15.0,2,8.0,0,28,7
18.42,17.0,2,8.0,1,28,7
18.42,17.0,2,8.0,1,28,7
18.42,17.0,0,8.0,1,28,7
18.42,17.0,2,8.0,1,28,7
2.29,23.0,2,8.0,0,15,5
6.29,23.0,2,8.0,1,15,5
1.29,19.0,2,8.0,1,15,5
1.29,25.0,2,8.0,1,15,5
3.29,19.0,2,8.0,0,15,5
8.36,20.0,1,5.0,3,5,6
8.36,23.0,1,5.0,3,5,6
8.36,18.0,1,5.0,3,5,6
8.36,17.0,1,5.0,3,5,6
8.36,20.0,1,5.0,3,5,6
13.36,21.0,1,5.0,0,5,6
8.36,20.0,1,5.0,3,5,6
9.78,20.0,2,8.0,1,24,8
9.78,22.0,2,8.0,1,24,8
4.7799999999999985,21.0,2,8.0,1,24,8
9.78,20.0,2,8.0,1,24,8
9.78,20.0,2,8.0,1,24,8
9.78,23.0,2,8.0,1,24,8
9.78,20.0,2,8.0,1,24,8
6.08,19.0,1,0.0,2,7,3
18.8,9.0,2,5.0,3,14,4
18.8,9.0,2,5.0,3,14,4
18.8,9.0,0,5.0,0,14,4
18.8,6.0,2,5.0,0,14,4
23.8,9.0,2,5.0,3,14,4
18.8,6.0,2,5.0,3,14,4
3.9,8.0,1,2.0,2,9,3
7.9,8.0,1,2.0,2,9,3
3.9,19.0,1,2.0,2,9,3
3.9,8.0,1,2.0,2,9,3
3.9,8.0,1,2.0,2,9,3
3.9,6.0,1,2.0,2,9,3
29.52,16.0,2,8.0,0,31,9
29.52,15.0,0,8.0,1,31,9
31.52,15.0,2,8.0,1,31,9
29.52,15.0,2,8.0,1,31,9
29.52,13.0,2,8.0,0,31,9
29.52,15.0,2,8.0,1,31,9
29.52,15.0,2,8.0,0,31,9
4.62,6.0,1,0.0,2,11,3
10.23199443955013,6.0,1,0.0,2,11,3
4.62,6.0,1,0.0,2,11,3
4.62,6.0,1,0.0,2,11,3
10.06,19.0,2,8.0,3,17,5
10.06,10.0,2,8.0,0,17,5
10.06,10.0,2,8.0,3,17,5
10.06,10.0,2,8.0,3,17,5
7.0600000000000005,10.0,2,8.0,3,17,5
10.06,10.0,2,8.0,0,17,5
10.06,10.0,2,8.0,3,17,5
1.54,5.0,1,1.0,2,1,3
4.54,5.0,1,1.0,0,1,3
4.54,5.0,1,1.0,2,1,3
4.54,6.0,0,1.0,2,1,3
4.54,5.0,1,1.0,2,1,3
4.54,5.0,1,1.0,2,1,3
5.62,20.0,1,6.0,3,5,5
5.62,19.0,1,6.0,3,5,5
5.62,20.0,1,6.0,3,5,5
12.62,18.0,0,6.0,3,5,5
5.62,20.0,1,6.0,0,5,5
5.62,21.0,1,6.0,3,5,5
5.62,20.0,1,6.0,3,5,5
23.21,19.0,2,6.0,1,29,6
29.21,20.0,0,6.0,1,29,6
23.21,21.0,0,6.0,1,29,6
23.21,20.0,2,6.0,1,29,6
23.21,19.0,2,6.0,0,29,6
23.21,20.0,2,6.0,0,29,6
28.21,19.0,2,6.0,0,29,6
23.21,19.0,2,6.0,1,29,6
5.65,15.0,1,8.0,3,16,4
5.65,15.0,1,8.0,3,16,4
5.65,16.0,1,8.0,3,16,4
5.65,16.0,1,8.0,3,16,4
5.65,17.0,1,8.0,0,16,4
5.65,15.0,1,8.0,3,16,4
3.11,7.0,1,3.0,2,6,3
3.11,9.0,1,3.0,0,6,3
3.11,6.0,1,3.0,0,6,3
3.11,12.0,1,3.0,2,6,3
18.21,21.0,1,7.0,3,11,7
11.21,20.0,1,7.0,3,11,7
9.21,19.0,1,7.0,3,11,7
5.210000000000001,20.0,0,7.0,3,11,7
11.21,20.0,1,7.0,3,11,7
11.21,20.0,1,7.0,3,11,7
15.21,21.0,1,7.0,0,11,7
18.53,18.0,2,7.0,0,12,5
10.23199443955013,19.0,2,7.0,3,12,5
18.53,18.0,2,7.0,3,12,5
18.53,18.0,2,7.0,3,12,5
18.53,20.0,2,7.0,3,12,5
18.53,18.0,2,7.0,3,12,5
16.53,18.0,2,7.0,0,12,5
11.53,20.0,2,7.0,3,12,5
5.52,22.0,2,6.0,0,31,8
5.52,22.0,2,6.0,0,31,8
10.23199443955013,19.0,2,6.0,1,31,8
5.52,23.0,2,6.0,1,31,8
0.5199999999999996,19.0,2,6.0,1,31,8
10.52,22.0,0,6.0,1,31,8
5.52,22.0,2,6.0,1,31,8
11.41,2.0,1,1.0,0,5,7
8.41,0.0,1,1.0,2,5,7
8.41,0.0,1,1.0,2,5,7
8.41,0.0,0,1.0,2,5,7
8.41,0.0,1,1.0,2,5,7
8.41,1.0,1,1.0,2,5,7
5.68,15.0,1,7.0,3,11,3
5.68,15.0,0,7.0,3,11,3
5.68,18.0,1,7.0,3,11,3
7.68,17.0,1,7.0,0,11,3
5.68,15.0,1,7.0,3,11,3
5.68,13.0,1,7.0,3,11,3
5.68,15.0,1,7.0,0,11,3
8.61,9.0,1,3.0,2,6,5
8.61,15.0,0,3.0,0,6,5
4.6099999999999985,12.0,1,3.0,2,6,5
8.61,10.0,1,3.0,0,6,5
8.61,10.0,1,3.0,2,6,5
8.61,19.0,1,3.0,0,6,5
5.27,11.0,1,2.0,2,4,1
5.27,19.0,1,2.0,2,4,1
5.27,12.0,1,2.0,2,4,1
5.27,19.0,1,2.0,2,4,1
5.27,8.0,1,2.0,2,4,1
6.27,10.0,1,2.0,2,4,1
5.27,9.0,0,2.0,2,4,1
19.05,18.0,2,4.0,3,6,3
19.05,18.0,2,4.0,3,6,3
19.05,18.0,2,4.0,3,6,3
19.05,19.0,2,4.0,3,6,3
12.05,18.0,2,4.0,3,6,3
19.05,18.0,2,4.0,3,6,3
19.05,16.0,2,4.0,3,6,3
19.05,18.0,2,4.0,3,6,3
15.82,17.0,2,6.0,3,7,5
15.82,20.0,0,6.0,3,7,5
15.82,17.0,2,6.0,0,7,5
15.82,17.0,2,6.0,3,7,5
15.82,17.0,2,6.0,3,7,5
15.82,16.0,2,6.0,3,7,5
21.82,20.0,2,6.0,3,7,5
10.23199443955013,17.0,2,6.0,3,7,5
19.42,18.0,2,7.0,0,21,10
19.42,18.0,0,7.0,1,21,10
19.42,19.0,2,7.0,1,21,10
19.42,17.0,2,7.0,1,21,10
19.42,19.0,2,7.0,0,21,10
19.42,21.0,2,7.0,0,21,10
21.24,15.0,2,9.0,1,18,9
17.24,15.0,2,9.0,1,18,9
17.24,17.0,0,9.0,1,18,9
17.24,17.0,2,9.0,1,18,9
17.24,15.0,0,9.0,0,18,9
4.18,2.0,1,5.0,2,12,6
4.18,2.0,1,5.0,2,12,6
4.18,1.0,1,5.0,2,12,6
10.23199443955013,0.0,1,5.0,2,12,6
4.18,5.0,1,5.0,2,12,6
4.18,2.0,1,5.0,0,12,6
4.18,2.0,1,5.0,2,12,6
10.1,13.0,2,3.0,3,15,4
10.1,16.0,2,3.0,0,15,4
10.1,12.0,2,3.0,3,15,4
7.57,20.0,2,3.0,3,6,6
7.57,21.0,2,3.0,3,6,6
7.57,19.0,2,3.0,3,6,6
10.23199443955013,20.0,2,3.0,3,6,6
7.57,20.0,2,3.0,0,6,6
3.5700000000000003,20.0,2,3.0,3,6,6
5.2,20.0,2,6.0,1,19,8
5.2,20.0,2,6.0,1,19,8
10.2,21.0,2,6.0,1,19,8
5.2,20.0,2,6.0,1,19,8
5.2,19.0,0,6.0,1,19,8
5.2,19.0,0,6.0,0,19,8
10.2,23.0,2,6.0,1,19,8
5.2,20.0,2,6.0,1,19,8
1.83,17.0,1,3.0,2,11,4
6.83,18.0,1,3.0,2,11,4
1.83,17.0,1,3.0,2,11,4
10.23199443955013,17.0,1,3.0,2,11,4
1.83,14.0,1,3.0,2,11,4
1.83,14.0,1,3.0,2,11,4
1.83,17.0,0,3.0,2,11,4
11.09,19.0,2,3.0,3,12,5
19.44,19.0,2,10.0,3,32,5
19.44,19.0,2,10.0,3,32,5
19.44,20.0,2,10.0,3,32,5
19.44,19.0,2,10.0,0,32,5
19.44,19.0,2,10.0,3,32,5
11.32,10.0,1,7.0,3,5,3
0.3200000000000003,10.0,1,7.0,3,5,3
4.32,13.0,0,7.0,3,5,3
4.32,11.0,1,7.0,3,5,3
4.32,10.0,1,7.0,3,5,3
4.32,12.0,1,7.0,3,5,3
16.23,26.0,2,7.0,1,25,5
16.23,23.0,0,7.0,1,25,5
16.23,20.0,2,7.0,1,25,5
16.23,24.0,0,7.0,1,25,5
16.23,23.0,0,7.0,0,25,5
16.23,23.0,2,7.0,1,25,5
16.23,23.0,2,7.0,1,25,5
3.44,22.0,0,9.0,1,32,6
3.44,22.0,2,9.0,1,32,6
0.44,22.0,2,9.0,1,32,6
3.44,22.0,2,9.0,1,32,6
3.44,20.0,2,9.0,1,32,6
3.44,22.0,0,9.0,1,32,6
3.44,23.0,2,9.0,0,32,6
3.44,22.0,2,9.0,1,32,6
13.65,8.0,2,5.0,3,11,5
13.65,9.0,2,5.0,3,11,5
13.65,11.0,2,5.0,3,11,5
13.65,12.0,2,5.0,0,11,5
13.65,10.0,2,5.0,0,11,5
13.65,12.0,0,5.0,0,11,5
3.9,9.0,1,1.0,0,3,7
3.9,11.0,1,1.0,2,3,7
3.9,9.0,1,1.0,2,3,7
3.9,19.0,0,1.0,0,3,7
3.9,9.0,1,1.0,0,3,7
10.23199443955013,10.0,1,1.0,2,3,7
9.75,20.0,1,7.0,3,12,5
9.75,20.0,1,7.0,3,12,5
9.75,20.0,1,7.0,3,12,5
2.75,21.0,1,7.0,3,12,5
9.75,20.0,1,7.0,3,12,5
9.75,18.0,1,7.0,3,12,5
9.75,19.0,1,7.0,3,12,5
9.75,20.0,1,7.0,0,12,5
5.04,9.0,1,5.0,2,9,5
5.04,10.0,1,5.0,2,9,5
5.04,11.0,1,5.0,2,9,5
1.04,19.0,0,5.0,2,9,5
5.04,14.0,1,5.0,0,9,5
5.04,11.0,1,5.0,2,9,5
5.04,11.0,1,5.0,0,9,5
5.04,8.0,1,5.0,2,9,5
5.95,3.0,1,5.0,2,3,3
10.23199443955013,19.0,1,5.0,2,3,3
11.95,3.0,0,5.0,2,3,3
5.95,3.0,1,5.0,0,3,3
5.95,3.0,1,5.0,0,3,3
5.95,19.0,1,5.0,2,3,3
5.95,3.0,1,5.0,2,3,3
1.31,5.0,1,4.0,0,6,3
8.31,6.0,0,4.0,2,6,3
3.31,8.0,1,4.0,2,6,3
1.31,3.0,1,4.0,2,6,3
1.31,6.0,1,4.0,2,6,3
1.31,6.0,1,4.0,2,6,3
2.42,3.0,1,0.0,0,10,5
6.42,19.0,1,0.0,0,10,5
6.42,0.0,1,0.0,2,10,5
6.42,0.0,1,0.0,2,10,5
6.42,0.0,1,0.0,2,10,5
6.42,0.0,1,0.0,2,10,5
10.64,17.0,2,10.0,1,23,6
10.64,17.0,2,10.0,1,23,6
14.64,17.0,2,10.0,1,23,6
10.64,17.0,2,10.0,1,23,6
10.64,17.0,2,10.0,1,23,6
10.64,17.0,2,10.0,1,23,6
10.64,19.0,2,10.0,1,23,6
10.64,17.0,2,10.0,1,23,6
9.33,7.0,2,6.0,3,7,6
9.33,8.0,2,6.0,3,7,6
9.33,8.0,2,6.0,0,7,6
9.33,8.0,2,6.0,3,7,6
4.33,8.0,2,6.0,0,7,6
9.33,8.0,2,6.0,0,7,6
9.33,8.0,2,6.0,3,7,6
5.21,6.0,1,2.0,2,12,2
4.21,0.0,1,2.0,2,12,2
18.33,20.0,2,8.0,0,6,3
21.33,22.0,2,8.0,3,6,3
10.23199443955013,23.0,2,8.0,3,6,3
16.33,20.0,0,8.0,0,6,3
18.33,20.0,2,8.0,3,6,3
18.33,20.0,2,8.0,3,6,3
18.33,21.0,0,8.0,0,6,3
18.33,20.0,2,8.0,3,6,3
